search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep
Heirs Life Assurance,com.heirsinsurance.agency.app,Agency App by Heirs- Beta,HEIRS GENERAL INSURANCE LIMITED,"5,000+",39.0,11,3.7948718,Finance,True
Clearline HMO,com.mesiot.hallmarkhmo,Hallmark HMO,Consolidated Hallmark Insurance Ltd,"5,000+",22.0,10,4.181818,Health & Fitness,True
AIICO Insurance,com.aiicoplc.aiico.app,AIICO EXPRESS,AIICO Insurance Plc,"1,000+",30.0,10,4.4666667,Finance,True
Capital Express Assurance,com.algora.capitalexpress,Capital Express,capexappdev,"1,000+",18.0,10,4.117647,Finance,True
Anchor Insurance Nigeria,com.anchorhmo.app,Anchor Mobile,Health Insurance,"5,000+",18.0,9,3.235294,Health & Fitness,True
Mediplan Healthcare,com.mediplan.mobile,Mediplan,Health Insurance,"5,000+",9.0,4,4.2222223,Health & Fitness,True
Mutual Benefits Assurance,com.mutualbenefitsmfb.mutualbenefitsmfbmobile,Mutual Benefits MFB,Mutual Benefits MFB,"1,000+",8.0,4,3.375,Finance,True
Hygeia HMO,com.clearV2.line,Clearline HMO APP,Health Insurance,"5,000+",15.0,3,4.642857,Health & Fitness,True
Coronation Insurance,com.coronationinsurance.android,Retail Agency Mobile,Coronation Insurance,"1,000+",6.0,3,4.3333335,Finance,True
Veritas Kapital Assurance,com.iw.veritasins,Veritas Mutual Fund,Clarion FinTech Pvt. Ltd.,"10,000+",58.0,3,4.571429,Finance,True
SUNU Assurances Nigeria,com.sunuhealth.app,SUNU Health,SUNU Health Nigeria Limited,"1,000+",8.0,3,3.125,Health & Fitness,True
KBL Insurance,com.lcode.kblmobileplus,KBL MOBILE Plus,KARNATAKA BANK,"5,000,000+",221179.0,3,3.857143,Finance,True
NSIA Insurance Nigeria,official.nsia.app,NSIA Insurance NG,NSIA INSURANCE APP,"1,000+",11.0,3,4.3333335,Finance,True
Reliance Health HMO,com.reliancehmo.rhmo_doctor,RelianceCare for Doctors,Reliance Health,"1,000+",11.0,2,4.181818,Health & Fitness,True
Oceanic Health Management,com.oceanic.dev,Oceanic Health,Oceanic Dev,"1,000+",7.0,2,2.6,Health & Fitness,True
Cornerstone Insurance,com.cornerstone.insurance,Cornerstone Insurance Plc,Cornerstone Insurance,"1,000+",6.0,1,3.5,Business,True
Avon HMO,com.oplayer.avonsmart,AVON SMART V2,Smart-Wearables,"500,000+",,0,,Health & Fitness,True
Avon Healthcare,com.logezy.avonHealthcare,Avon Healthcare,Logezy,500+,,0,,Business,True
Anchor HMO,com.jrmoynihan99.anchor,Anchor | Fight Lust Together,Jason Moynihan,100+,,0,,Social,True
Princeton Health Nigeria,uk.co.glassboxx.princeton,Princeton University Press,Glassboxx,"5,000+",,0,,Education,True
Venus Medicare,com.venushospital.patientApp,Venus Patient Connect,SMT RASILABEN SEVANTILAL SHAH VENUS HOSPITAL,100+,,0,,Medical,True
Marina Medical HMO,com.perfectgym.perfectgymgo2.marinahealthleisure,Marina Health & Leisure,PERFECT GYM SOLUTIONS SP. Z O. O.,100+,,0,,Health & Fitness,True
Salus Trust,io.salussafety.salus,SALUS,Salus Technologies Inc,"10,000+",,0,,Business,True
