search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
Roding Healthcare,com.eshe.space,Eshe Period & Cycle Tracker,FEM HEALTH LIFE LTD,"100,000+",735.0,82,4.3431373,Health & Fitness,False,not_ng_insurance
Total Health Trust,com.google.android.apps.healthdata,Health Connect,Google LLC,"500,000,000+",86322.0,80,4.51,Health & Fitness,False,not_ng_insurance
Veritas Kapital Assurance,com.veritasmobileapp,Veritas Glanvills Pensions,Veritas Glanvills Pensions,"50,000+",160.0,78,4.5,Finance,False,not_ng_insurance
Nigerian Agricultural Insurance,com.boa.mobile,Bank of Agriculture,Bank Of Agriculture,"50,000+",172.0,76,3.96,Finance,False,not_ng_insurance
Jaiz Takaful,com.jaiz.mobiletoken,Jaiz eToken,Jaiz Bank Plc,"100,000+",164.0,70,3.29,Finance,False,not_ng_insurance
third party insurance Nigeria,ng.com.islam24data.app,Islam 24 Data,GomTech Solutions,"100,000+",209.0,57,4.4313726,Business,False,not_ng_insurance
Songhai Health Trust,com.mDoc.completehealth,mDoc CompleteHealth™,mDoc,"10,000+",68.0,46,4.5409837,Health & Fitness,False,not_ng_insurance
Sovereign Trust Insurance,com.cwg.trustbanc,Prime By TrustBanc,TrustBanc,"5,000+",77.0,46,4.4444447,Finance,False,not_ng_insurance
Veritas Kapital Assurance,ru.gigabyte_artur.gigabyte_artur,Veritas,AAA+,"10,000+",122.0,40,4.0,Educational,False,not_ng_insurance
THT Nigeria health,com.zijela.chprbn,CHPRBN,Zijela ICT,"10,000+",69.0,40,3.8985507,Medical,False,not_ng_insurance
Zenith General Insurance,com.cyberspace.quantum_zenith,Quantum Zenith,Cyberspace,"10,000+",68.0,40,3.7076924,Finance,False,not_ng_insurance
Cornerstone Insurance,com.csod.learning,Cornerstone OnDemand,"Cornerstone OnDemand, Inc.","1,000,000+",9225.0,29,4.6792455,Education,False,not_ng_insurance
Salam Takaful Nigeria,com.xfaceline.wagas,Salam-Group Chat Rooms,XFaceLine Limited,"100,000+",9888.0,27,4.4651165,Social,False,not_ng_insurance
NEM Insurance,app.kids360.parent,Kids360: Parental Control App,MINDCARE LAB LTD,"10,000,000+",287734.0,25,4.51,Parenting,False,not_ng_insurance
travel insurance Nigeria,com.unitednigeria.booking,United Nigeria Airlines,Videcom,"50,000+",72.0,23,4.0923076,Travel & Local,False,not_ng_insurance
