category,document_count,denominator,percent
Procedural access,347,985,35.22842639593909
Trust and reliability,139,985,14.111675126903553
Coverage and entitlements,91,985,9.238578680203045
Residual or mixed,106,985,10.761421319796954
Outlier,302,985,30.65989847715736
