cluster_count,mean_cosine_silhouette,standard_deviation_cosine_silhouette,mean_pairwise_adjusted_rand_index,minimum_pairwise_adjusted_rand_index,mean_inertia,median_smallest_cluster_size,selection_note
5,0.014847079181362762,0.0005687496929091508,0.5569782895019509,0.43329769343954566,940.9738814268551,75.0,Selected for the diagnostic baseline because it had the highest cross seed stability among the evaluated values.
6,0.016008585457264937,0.0015404832701859505,0.46191479886192977,0.3348735107434675,937.4006939809324,72.0,
7,0.01776187623191829,0.0006675158310812267,0.4914489417895876,0.35954597108467407,932.8259914688658,63.0,
8,0.01868453800065271,0.0004489112876726548,0.4238834974367853,0.3335267569892081,928.9217601286416,48.0,
9,0.020480397202901963,0.0012266768501614132,0.4379509725188977,0.308660171093901,925.0305631554309,44.0,
10,0.02202337717895473,0.000996771945548919,0.49033557240555464,0.4178438850471795,920.5424805669973,23.0,
11,0.021732169375731848,0.00046390115760882043,0.382804649982709,0.3034156212683844,918.4551680449456,23.0,
12,0.023199959591933488,0.0009854313293385763,0.35303835054703825,0.2797552439224571,915.3015565369445,20.0,
13,0.023768335063906586,0.00036997244482485906,0.3481475621222551,0.26718586862593957,912.7409453921737,23.0,
14,0.02507900249734506,0.001312073488156158,0.35605321941659307,0.2956866341441486,909.0007237480131,21.0,
15,0.024158893079647338,0.0008630851791823164,0.28270424792435306,0.22171937753825752,907.4872909411828,22.0,
