category,document_count,denominator,percent
Procedural access,347,577,60.13864818024264
Trust and reliability,139,577,24.090121317157713
Coverage and entitlements,91,577,15.771230502599654
Residual or mixed,0,577,0.0
Outlier,0,577,0.0
