category,document_count,denominator,percent
Procedural access,347,683,50.805270863836014
Trust and reliability,139,683,20.351390922401173
Coverage and entitlements,91,683,13.323572474377746
Residual or mixed,106,683,15.519765739385067
Outlier,0,683,0.0
